Entrez GeneID 1	Entrez GeneID 2	Pathophenotypic similarity
216	217	6.809
3859	3850	6.6739
2308	5081	6.4036
5740	5409	6.3077
127534	2707	6.1851
4093	659	5.8056
336	3949	5.6346
336	2053	5.6346
3949	2053	5.6346
843	355	5.6157
5956	2652	5.5769
1535	1536	5.571
94	2022	5.5417
4688	653361	5.5215
2132	2131	5.4527
4688	1535	5.4259
4688	1536	5.4259
1535	653361	5.4259
1536	653361	5.4259
7399	79955	5.415
4292	4436	5.3837
9365	2591	5.2778
5627	5624	5.2304
3753	3757	5.2259
3753	9992	5.2259
3757	9992	5.2259
7249	7248	5.2019
6392	6391	5.1455
6100	6101	5.1271
6100	3614	5.1271
6101	3614	5.1271
4338	4337	5.1138
5277	51251	5.1068
7067	50506	5.1025
84930	22852	5.0762
3854	3872	5.0672
4261	8625	5.0503
4261	5994	5.0503
4261	5993	5.0503
8625	5994	5.0503
8625	5993	5.0503
5994	5993	5.0503
3784	2702	4.9836
1411	3299	4.9484
10913	128178	4.9481
29851	23495	4.9414
5311	5310	4.9407
6392	6390	4.9362
6708	6710	4.9211
10021	287	4.844
153562	64072	4.8175
80144	341640	4.8161
208	3172	4.8145
208	3159	4.8145
3172	3159	4.8145
8675	149775	4.787
6295	5158	4.7852
602	613	4.7704
7421	1594	4.7663
55505	55651	4.749
5106	5105	4.7401
5795	8313	4.7321
5795	27030	4.7321
5795	2033	4.7321
8313	27030	4.7321
8313	2033	4.7321
27030	2033	4.7321
196527	3998	4.7135
3868	3853	4.6921
1122	1121	4.6825
6891	6892	4.674
6891	6890	4.674
6892	6890	4.674
2956	5395	4.6706
5897	5896	4.6684
7508	1643	4.6452
7015	7012	4.6442
8792	8878	4.6259
596	602	4.6172
6340	6338	4.6131
64240	64241	4.607
3785	3786	4.591
1290	1289	4.5889
60529	4488	4.5832
2120	4291	4.5633
2120	6455	4.5633
2120	2322	4.5633
2120	8021	4.5633
2120	8028	4.5633
2120	4026	4.5633
2120	23365	4.5633
2120	4869	4.5633
2120	8301	4.5633
2120	8833	4.5633
2120	54904	4.5633
2120	1050	4.5633
4291	6455	4.5633
4291	2322	4.5633
4291	8021	4.5633
4291	8028	4.5633
4291	4026	4.5633
4291	23365	4.5633
4291	4869	4.5633
4291	8301	4.5633
4291	8833	4.5633
4291	54904	4.5633
4291	1050	4.5633
6455	2322	4.5633
6455	8021	4.5633
6455	8028	4.5633
6455	4026	4.5633
6455	23365	4.5633
6455	4869	4.5633
6455	8301	4.5633
6455	8833	4.5633
6455	54904	4.5633
6455	1050	4.5633
2322	8021	4.5633
2322	8028	4.5633
2322	4026	4.5633
2322	23365	4.5633
2322	4869	4.5633
2322	8301	4.5633
2322	8833	4.5633
2322	54904	4.5633
2322	1050	4.5633
8021	8028	4.5633
8021	4026	4.5633
8021	23365	4.5633
8021	4869	4.5633
8021	8301	4.5633
8021	8833	4.5633
8021	54904	4.5633
8021	1050	4.5633
8028	4026	4.5633
8028	23365	4.5633
8028	4869	4.5633
8028	8301	4.5633
8028	8833	4.5633
8028	54904	4.5633
8028	1050	4.5633
4026	23365	4.5633
4026	4869	4.5633
4026	8301	4.5633
4026	8833	4.5633
4026	54904	4.5633
4026	1050	4.5633
23365	4869	4.5633
23365	8301	4.5633
23365	8833	4.5633
23365	54904	4.5633
23365	1050	4.5633
4869	8301	4.5633
4869	8833	4.5633
4869	54904	4.5633
4869	1050	4.5633
8301	8833	4.5633
8301	54904	4.5633
8301	1050	4.5633
8833	54904	4.5633
8833	1050	4.5633
54904	1050	4.5633
3674	3690	4.5586
