gene	P(rec)	rank	class		
A1BG	0.31615396	1901	NA		
A1CF	0.359992897	1578	NA		
A2LD1	0.104827515	10312	NA		
A2M	0.796183485	253	NA		
A2ML1	0.083306957	13150	NA		
A3GALT2	0.09600631	11740	NA		
A4GALT	0.221821593	3096	NA		
A4GNT	0.088457635	12687	NA		
AACS	0.238981721	2787	NA		
AADAC	0.077268811	13520	NA		
AADACL1	0.145238314	5624	NA		
AADACL2	0.115855541	8132	NA		
AADACL3	0.078131028	13480	NA		
AADACL4	0.092823716	12206	NA		
AADAT	0.128286196	6823	NA		
AAK1	0.0954337	11836	NA		
AAMP	0.122301693	7374	NA		
AANAT	0.210959017	3319	NA		
AARS	0.205431094	3436	NA		
AARS2	0.112369726	8742	NA		
AARSD1	0.087811669	12741	lof-tolerant		
AASDH	0.138322314	6061	NA		
AASDHPPT	0.189377467	3865	NA		
AATF	0.293816767	2077	NA		
AATK	0.120935953	7527	NA		
ABCA1	0.676028159	447	NA		
ABCA12	0.15786009	4937	recessive		
ABCA13	0.073338305	13684	NA		
ABCA2	0.298222864	2042	NA		
ABCA3	0.169875916	4487	NA		
ABCA4	0.387631699	1415	NA		
ABCA5	0.113489916	8421	NA		
ABCA6	0.104946619	10283	NA		
ABCA7	0.154838824	5108	lof-tolerant		
ABCB1	0.679811778	444	NA		
ABCB10	0.143384557	5723	NA		
ABCB11	0.39265406	1372	recessive		
ABCB4	0.406892592	1301	NA		
ABCB5	0.09307983	12169	lof-tolerant		
ABCB7	0.517123587	864	recessive		
ABCB8	0.155360747	5089	NA		
ABCB9	0.132858302	6455	NA		
ABCC11	0.701097056	407	NA		
ABCC12	0.09094155	12416	NA		
ABCC2	0.239136941	2784	recessive		
ABCC3	0.279473813	2250	NA		
ABCC4	0.369538389	1526	NA		
ABCC5	0.35905166	1587	NA		
ABCC6P2	0.145799386	5600	NA		
ABCC8	0.434689545	1165	NA		
ABCC9	0.156859067	4977	NA		
ABCD1	0.769425429	291	NA		
ABCD2	0.198894773	3617	NA		
ABCD3	0.297326914	2052	recessive		
ABCD4	0.152593864	5215	NA		
ABCE1	0.314625907	1914.5	NA		
ABCF2	0.120168617	7606	NA		
ABCF3	0.155135902	5096	NA		
ABCG1	0.437224114	1154	NA		
ABCG2	0.552120056	759	NA		
ABCG4	0.157347025	4955	NA		
ABCG5	0.086678543	12868	recessive		
ABCG8	0.333030778	1781	recessive		
ABHD1	0.084097049	13078	NA		
ABHD10	0.099630041	11225	NA		
ABHD11	0.104017899	10471	NA		
ABHD12B	0.083159525	13168	NA		
ABHD13	0.112629347	8624	NA		
ABHD14A	0.083792144	13112	NA		
ABHD14B	0.089409302	12595	lof-tolerant		
ABHD2	0.122656694	7331	NA		
ABHD3	0.102621905	10723	NA		
ABHD4	0.111456034	8899	NA		
ABHD5	0.162751687	4749	recessive		
ABHD6	0.418601944	1242	NA		
ABHD7	0.102740976	10709	NA		
ABHD8	0.110501225	9108	NA		
ABHD9	0.11290169	8505	NA		
ABI1	0.296887783	2056	NA		
ABI2	0.191954492	3797	NA		
ABI3	0.123882083	7168	NA		
ABI3BP	0.100247719	11100.5	NA		
ABL1	0.608843153	605	NA		
ABL2	0.212669271	3286	NA		
ABLIM1	0.115246209	8200	NA		
ABLIM2	0.105836178	10108	NA		
ABLIM3	0.108433108	9552	NA		
ABO	0.829491368	207	NA		
ABP1	0.720141051	380	NA		
ABRA	0.117278889	7952	NA		
ABT1	0.112507515	8724	NA		
ABTB1	0.113274325	8441	NA		
ABTB2	0.107445152	9774	NA		
ACAA1	0.695405399	417	recessive		
ACAA2	0.366352509	1539	NA		
ACACA	0.73160295	355	NA		
ACACB	0.411745499	1285	NA		
ACAD10	0.494635432	930	NA		
ACAD11	0.20501347	3451	NA		
ACAD8	0.249648421	2627	NA		
ACAD9	0.223173767	3075	NA		
ACADL	0.326296558	1817	recessive		
ACADM	0.721744067	376	recessive		
ACADS	0.52588792	840	recessive		
ACADSB	0.275213102	2302	recessive		
ACADVL	0.286436941	2159	recessive		
ACAN	0.570209953	705	NA		
ACAP1	0.099284178	11275	NA		
ACAP2	0.115175796	8206	NA		
ACAP3	0.110078547	9203	NA		
ACAT1	0.479999504	988	recessive		
ACAT2	0.258956962	2504	NA		
ACBD3	0.135179014	6278	NA		
ACBD4	0.081154274	13316	NA		
ACBD5	0.070031892	13803	NA		
ACBD6	0.106848868	9907	NA		
ACBD7	0.091708416	12330	NA		
ACCN2	0.174582729	4310	NA		
ACCN4	0.107832271	9694	NA		
ACCN5	0.09151866	12351	NA		
ACCS	0.158259445	4918	NA		
ACD	0.134306973	6346	NA		
ACE	0.718761846	381	recessive		
ACE2	0.283732451	2187	NA		
ACER1	0.11016691	9177	NA		
ACER2	0.085755281	12945	NA		
ACER3	0.122143097	7396	NA		
ACHE	0.443376505	1132	NA		
ACIN1	0.423144446	1211	NA		
ACLY	0.542663141	782	NA		
ACMSD	0.127878979	6849	NA		
ACN9	0.087941429	12730	NA		
ACO1	0.611515025	595	NA		
ACO2	0.782247789	274	NA		
ACOT1	0.122900169	7303	NA		
ACOT11	0.139327142	5997	NA		
ACOT12	0.179005295	4155	NA		
ACOT2	0.108812358	9471	NA		
ACOT4	0.100742519	11029	NA		
ACOT6	0.090442838	12481	NA		
ACOT7	0.74467621	335	NA		
ACOT8	0.412196756	1282	NA		
ACOT9	0.091211591	12386	NA		
ACOX1	0.771837879	288	recessive		
ACOX2	0.147752025	5474	NA		
ACOX3	0.634469511	542	NA		
ACOXL	0.079598926	13402	NA		
ACP1	0.546559452	768	NA		
ACP2	0.464605309	1046	NA		
ACP5	0.253982438	2572	NA		
ACP6	0.232217416	2910	NA		
ACPP	0.155603206	5074	NA		
ACPT	0.276709477	2286	NA		
ACR	0.259596465	2497	NA		
ACRBP	0.110078241	9204	NA		
ACRC	0.060406735	13987	NA		
ACRV1	0.149512025	5349	NA		
ACSBG1	0.21146975	3316	NA		
ACSBG2	0.090817645	12427	NA		
ACSF2	0.200890567	3559	NA		
ACSL1	0.32858776	1802	NA		
ACSL3	0.185622778	3979	NA		
ACSL4	0.308011933	1965	NA		
ACSL5	0.156813622	4978	NA		
ACSL6	0.122097975	7400	lof-tolerant		
ACSM1	0.111499727	8890	NA		
ACSM2A	0.067982495	13851	NA		
ACSM2B	0.07290501	13702	NA		
ACSM3	0.454813782	1081	NA		
ACSM5	0.09249671	12241	NA		
ACSS1	0.195391198	3685	NA		
ACSS2	0.456803742	1073	NA		
ACSS3	0.091909326	12309	NA		
ACTA1	0.937215125	83	NA		
ACTA2	0.155881126	5035.5	NA		
ACTBL2	0.626505944	557	NA		
ACTBL3	0.439169123	1148	NA		
ACTC1	0.906757547	116	NA		
ACTG2	0.672885042	454	NA		
ACTL6A	0.718195079	382	NA		
ACTL6B	0.448369054	1113	NA		
ACTL7A	0.108167746	9622	NA		
ACTL7B	0.485355473	971	NA		
ACTL8	0.447971755	1114	NA		
ACTN1	0.316327187	1899	NA		
ACTN2	0.398856	1350	NA		
ACTN4	0.728908538	363	NA		
ACTR10	0.105649047	10143	NA		
ACTR1A	0.546268379	771.5	NA		
ACTR1B	0.5297436	829	NA		
ACTR2	0.108861234	9460	NA		
ACTR3	0.142298242	5803	NA		
ACTR3B	0.142298242	5803	NA		
ACTR5	0.108311763	9578	NA		
ACTR6	0.466104447	1039.5	NA		
ACTR8	0.111057006	8995	NA		
ACTRT2	0.446827948	1124	NA		
ACVR1	0.384243266	1436	NA		
ACVR1B	0.296866404	2057	NA		
ACVR1C	0.154054896	5146	NA		
ACVR2A	0.239842845	2766.5	NA		
ACVR2B	0.314625907	1914.5	NA		
ACVRL1	0.441261122	1137	NA		
ACY1	0.276873038	2284	recessive		
ACY3	0.126066282	7005	NA		
ACYP1	0.086369664	12901	NA		
ACYP2	0.201592173	3549	NA		
ADA	0.684358126	439	recessive		
ADAD1	0.124274662	7141	NA		
ADAL	0.113515972	8418	NA		
ADAM10	0.374642876	1493	NA		
ADAM11	0.114529019	8300.5	NA		
ADAM12	0.231832216	2918	NA		
ADAM15	0.13843825	6055	NA		
ADAM17	0.381396553	1453	NA		
ADAM18	0.081965725	13254	NA		
ADAM19	0.131376355	6570	NA		
ADAM2	0.116386664	8064	NA		
ADAM20	0.072311925	13721	NA		
ADAM21	0.092057321	12289.5	NA		
ADAM21P	0.092057321	12289.5	NA		
ADAM22	0.102516287	10748	NA		
ADAM23	0.085935662	12932	NA		
ADAM28	0.124510008	7125	NA		
ADAM29	0.095805158	11777	NA		
ADAM32	0.07564699	13600	NA		
ADAM33	0.14638874	5562	NA		
ADAM7	0.089670251	12569	NA		
ADAM8	0.143011042	5741	NA		
ADAM9	0.218278087	3180	NA		
ADAMDEC1	0.103094967	10641	NA		
ADAMTS1	0.164708525	4660	NA		
ADAMTS10	0.120546544	7562	NA		
ADAMTS12	0.120721002	7551	NA		
ADAMTS13	0.128771052	6790	recessive		
ADAMTS14	0.123332067	7274	NA		
ADAMTS15	0.145684374	5604	NA		
ADAMTS16	0.132107388	6511	NA		
ADAMTS17	0.123988493	7158	NA		
ADAMTS18	0.095387934	11841	NA		
ADAMTS19	0.106130529	10054	NA		
ADAMTS2	0.314847734	1905.5	recessive		
ADAMTS20	0.092973079	12186	NA		
ADAMTS3	0.116888603	7995	NA		
ADAMTS4	0.193206798	3764	NA		
ADAMTS5	0.251594658	2594	NA		
ADAMTS6	0.119534045	7672	NA		
ADAMTS7	0.110806339	9045	NA		
ADAMTS8	0.123344311	7271	NA		
ADAMTSL2	0.115167409	8207	NA		
ADAMTSL3	0.109311007	9358	NA		
ADAMTSL4	0.09865805	11362	NA		
ADAMTSL5	0.10435869	10413	NA		
